"#","Date Time, GMT+02:00","Volt, V (LGR S/N: 21140561, SEN S/N: 21140561, LBL: DR1_Port1)","DR1_Port1_Data, Micrometer (LGR S/N: 21140561)"
1,04/12/22 10:00:00 AM,0.00008,0.35
2,04/12/22 10:01:00 AM,0.00011,0.48
3,04/12/22 10:02:00 AM,0.00011,0.48
4,04/12/22 10:03:00 AM,0.00011,0.48
5,04/12/22 10:04:00 AM,0.00011,0.48
6,04/12/22 10:05:00 AM,0.00011,0.48
7,04/12/22 10:06:00 AM,0.00008,0.35
8,04/12/22 10:07:00 AM,0.00008,0.35
9,04/12/22 10:08:00 AM,0.00008,0.35
10,04/12/22 10:09:00 AM,0.00008,0.35
11,04/12/22 10:10:00 AM,0.00008,0.35
12,04/12/22 10:11:00 AM,0.00008,0.35
13,04/12/22 10:12:00 AM,0.00011,0.48
14,04/12/22 10:13:00 AM,0.00011,0.48
15,04/12/22 10:14:00 AM,0.00011,0.48
16,04/12/22 10:15:00 AM,0.00011,0.48
17,04/12/22 10:16:00 AM,0.00011,0.48
18,04/12/22 10:17:00 AM,0.00011,0.48
19,04/12/22 10:18:00 AM,0.00011,0.48
20,04/12/22 10:19:00 AM,0.00011,0.48
21,04/12/22 10:20:00 AM,0.01118,49.19
22,04/12/22 10:21:00 AM,0.01164,51.22
23,04/12/22 10:22:00 AM,0.01144,50.34
24,04/12/22 10:23:00 AM,0.01129,49.68
25,04/12/22 10:24:00 AM,0.01183,52.05
26,04/12/22 10:25:00 AM,0.01194,52.54
27,04/12/22 10:26:00 AM,0.01202,52.89
28,04/12/22 10:27:00 AM,0.01209,53.20
29,04/12/22 10:28:00 AM,0.01213,53.37
30,04/12/22 10:29:00 AM,0.01209,53.20
31,04/12/22 10:30:00 AM,0.01202,52.89
32,04/12/22 10:31:00 AM,0.01202,52.89
33,04/12/22 10:32:00 AM,0.01190,52.36
34,04/12/22 10:33:00 AM,0.01171,51.52
35,04/12/22 10:34:00 AM,0.01133,49.85
36,04/12/22 10:35:00 AM,0.01110,48.84
37,04/12/22 10:36:00 AM,0.01110,48.84
38,04/12/22 10:37:00 AM,0.01080,47.52
39,04/12/22 10:38:00 AM,0.01030,45.32
40,04/12/22 10:39:00 AM,0.00969,42.64
41,04/12/22 10:40:00 AM,0.00973,42.81
42,04/12/22 10:41:00 AM,0.00977,42.99
43,04/12/22 10:42:00 AM,0.00984,43.30
44,04/12/22 10:43:00 AM,0.00999,43.96
45,04/12/22 10:44:00 AM,0.01003,44.13
46,04/12/22 10:45:00 AM,0.01007,44.31
47,04/12/22 10:46:00 AM,0.01019,44.84
48,04/12/22 10:47:00 AM,0.01038,45.67
49,04/12/22 10:48:00 AM,0.01057,46.51
50,04/12/22 10:49:00 AM,0.01076,47.34
51,04/12/22 10:50:00 AM,0.01110,48.84
52,04/12/22 10:51:00 AM,0.01114,49.02
53,04/12/22 10:52:00 AM,0.00908,39.95
54,04/12/22 10:53:00 AM,0.01072,47.17
55,04/12/22 10:54:00 AM,0.01045,45.98
56,04/12/22 10:55:00 AM,0.01076,47.34
57,04/12/22 10:56:00 AM,0.01095,48.18
58,04/12/22 10:57:00 AM,0.01175,51.70
59,04/12/22 10:58:00 AM,0.01148,50.51
60,04/12/22 10:59:00 AM,0.01247,54.87
61,04/12/22 11:00:00 AM,0.01164,51.22
62,04/12/22 11:01:00 AM,0.01194,52.54
63,04/12/22 11:02:00 AM,0.01209,53.20
64,04/12/22 11:03:00 AM,0.01205,53.02
65,04/12/22 11:04:00 AM,0.01202,52.89
66,04/12/22 11:05:00 AM,0.01202,52.89
67,04/12/22 11:06:00 AM,0.01202,52.89
68,04/12/22 11:07:00 AM,0.01209,53.20
69,04/12/22 11:08:00 AM,0.01205,53.02
70,04/12/22 11:09:00 AM,0.01202,52.89
71,04/12/22 11:10:00 AM,0.01205,53.02
72,04/12/22 11:11:00 AM,0.01205,53.02
73,04/12/22 11:12:00 AM,0.01205,53.02
74,04/12/22 11:13:00 AM,0.01205,53.02
75,04/12/22 11:14:00 AM,0.01202,52.89
76,04/12/22 11:15:00 AM,0.01198,52.71
77,04/12/22 11:16:00 AM,0.01175,51.70
78,04/12/22 11:17:00 AM,0.01118,49.19
79,04/12/22 11:18:00 AM,0.01072,47.17
80,04/12/22 11:19:00 AM,0.01072,47.17
81,04/12/22 11:20:00 AM,0.01087,47.83
82,04/12/22 11:21:00 AM,0.01091,48.00
83,04/12/22 11:22:00 AM,0.01102,48.49
84,04/12/22 11:23:00 AM,0.01118,49.19
85,04/12/22 11:24:00 AM,0.01114,49.02
86,04/12/22 11:25:00 AM,0.01114,49.02
87,04/12/22 11:26:00 AM,0.01106,48.66
88,04/12/22 11:27:00 AM,0.01110,48.84
89,04/12/22 11:28:00 AM,0.01114,49.02
90,04/12/22 11:29:00 AM,0.01091,48.00
91,04/12/22 11:30:00 AM,0.01080,47.52
92,04/12/22 11:31:00 AM,0.01091,48.00
93,04/12/22 11:32:00 AM,0.01106,48.66
94,04/12/22 11:33:00 AM,0.01118,49.19
95,04/12/22 11:34:00 AM,0.01118,49.19
96,04/12/22 11:35:00 AM,0.01125,49.50
97,04/12/22 11:36:00 AM,0.01164,51.22
98,04/12/22 11:37:00 AM,0.01133,49.85
99,04/12/22 11:38:00 AM,0.01144,50.34
100,04/12/22 11:39:00 AM,0.01144,50.34
101,04/12/22 11:40:00 AM,0.01144,50.34
102,04/12/22 11:41:00 AM,0.01148,50.51
103,04/12/22 11:42:00 AM,0.01164,51.22
104,04/12/22 11:43:00 AM,0.01179,51.88
105,04/12/22 11:44:00 AM,0.01236,54.38
106,04/12/22 11:45:00 AM,0.01217,53.55
107,04/12/22 11:46:00 AM,0.01209,53.20
108,04/12/22 11:47:00 AM,0.01221,53.72
109,04/12/22 11:48:00 AM,0.01240,54.56
110,04/12/22 11:49:00 AM,0.01247,54.87
111,04/12/22 11:50:00 AM,0.01228,54.03
112,04/12/22 11:51:00 AM,0.01144,50.34
113,04/12/22 11:52:00 AM,0.01133,49.85
114,04/12/22 11:53:00 AM,1.39792,6150.85
115,04/12/22 11:54:00 AM,1.39803,6151.33
116,04/12/22 11:55:00 AM,1.39811,6151.68
117,04/12/22 11:56:00 AM,1.39803,6151.33
118,04/12/22 11:57:00 AM,1.39803,6151.33
119,04/12/22 11:58:00 AM,1.39803,6151.33
120,04/12/22 11:59:00 AM,1.39803,6151.33
121,04/12/22 12:00:00 PM,1.39803,6151.33
122,04/12/22 12:01:00 PM,1.39803,6151.33
123,04/12/22 12:02:00 PM,1.39799,6151.16
124,04/12/22 12:03:00 PM,1.39799,6151.16
125,04/12/22 12:04:00 PM,1.39799,6151.16
126,04/12/22 12:05:00 PM,1.39799,6151.16
127,04/12/22 12:06:00 PM,1.39799,6151.16
128,04/12/22 12:07:00 PM,1.39799,6151.16
129,04/12/22 12:08:00 PM,1.39799,6151.16
130,04/12/22 12:09:00 PM,1.39796,6151.02
131,04/12/22 12:10:00 PM,1.39796,6151.02
132,04/12/22 12:11:00 PM,1.39796,6151.02
133,04/12/22 12:12:00 PM,1.39792,6150.85
134,04/12/22 12:13:00 PM,1.39792,6150.85
135,04/12/22 12:14:00 PM,1.39792,6150.85
136,04/12/22 12:15:00 PM,1.39788,6150.67
137,04/12/22 12:16:00 PM,1.39788,6150.67
138,04/12/22 12:17:00 PM,1.39788,6150.67
139,04/12/22 12:18:00 PM,1.39788,6150.67
140,04/12/22 12:19:00 PM,1.39788,6150.67
141,04/12/22 12:20:00 PM,1.39784,6150.50
142,04/12/22 12:21:00 PM,1.39784,6150.50
143,04/12/22 12:22:00 PM,1.39784,6150.50
144,04/12/22 12:23:00 PM,1.39784,6150.50
145,04/12/22 12:24:00 PM,1.39780,6150.32
146,04/12/22 12:25:00 PM,1.39780,6150.32
147,04/12/22 12:26:00 PM,1.39780,6150.32
148,04/12/22 12:27:00 PM,1.39780,6150.32
149,04/12/22 12:28:00 PM,1.39776,6150.14
150,04/12/22 12:29:00 PM,1.39776,6150.14
151,04/12/22 12:30:00 PM,1.39776,6150.14
152,04/12/22 12:31:00 PM,1.39776,6150.14
153,04/12/22 12:32:00 PM,1.39776,6150.14
154,04/12/22 12:33:00 PM,1.39776,6150.14
155,04/12/22 12:34:00 PM,1.39776,6150.14
156,04/12/22 12:35:00 PM,1.39776,6150.14
157,04/12/22 12:36:00 PM,1.39776,6150.14
158,04/12/22 12:37:00 PM,1.39776,6150.14
159,04/12/22 12:38:00 PM,1.39776,6150.14
160,04/12/22 12:39:00 PM,1.39776,6150.14
161,04/12/22 12:40:00 PM,1.39773,6150.01
162,04/12/22 12:41:00 PM,1.39773,6150.01
163,04/12/22 12:42:00 PM,1.39773,6150.01
164,04/12/22 12:43:00 PM,1.39773,6150.01
165,04/12/22 12:44:00 PM,1.39773,6150.01
166,04/12/22 12:45:00 PM,1.39773,6150.01
167,04/12/22 12:46:00 PM,1.39773,6150.01
168,04/12/22 12:47:00 PM,1.39773,6150.01
169,04/12/22 12:48:00 PM,1.39773,6150.01
170,04/12/22 12:49:00 PM,1.39773,6150.01
171,04/12/22 12:50:00 PM,1.39773,6150.01
172,04/12/22 12:51:00 PM,1.39773,6150.01
173,04/12/22 12:52:00 PM,1.39773,6150.01
174,04/12/22 12:53:00 PM,1.39773,6150.01
175,04/12/22 12:54:00 PM,1.39773,6150.01
176,04/12/22 12:55:00 PM,1.39773,6150.01
177,04/12/22 12:56:00 PM,1.39773,6150.01
178,04/12/22 12:57:00 PM,1.39773,6150.01
179,04/12/22 12:58:00 PM,1.39769,6149.84
180,04/12/22 12:59:00 PM,1.39769,6149.84
181,04/12/22 01:00:00 PM,1.39769,6149.84
182,04/12/22 01:01:00 PM,1.39769,6149.84
183,04/12/22 01:02:00 PM,1.39769,6149.84
184,04/12/22 01:03:00 PM,1.39769,6149.84
185,04/12/22 01:04:00 PM,1.39769,6149.84
186,04/12/22 01:05:00 PM,1.39769,6149.84
187,04/12/22 01:06:00 PM,1.39769,6149.84
188,04/12/22 01:07:00 PM,1.39769,6149.84
189,04/12/22 01:08:00 PM,1.39769,6149.84
190,04/12/22 01:09:00 PM,1.39769,6149.84
191,04/12/22 01:10:00 PM,1.39769,6149.84
192,04/12/22 01:11:00 PM,1.39769,6149.84
193,04/12/22 01:12:00 PM,1.39769,6149.84
194,04/12/22 01:13:00 PM,1.39769,6149.84
195,04/12/22 01:14:00 PM,1.39765,6149.66
196,04/12/22 01:15:00 PM,1.39765,6149.66
197,04/12/22 01:16:00 PM,1.39765,6149.66
198,04/12/22 01:17:00 PM,1.39765,6149.66
199,04/12/22 01:18:00 PM,1.39765,6149.66
200,04/12/22 01:19:00 PM,1.39765,6149.66
201,04/12/22 01:20:00 PM,1.39765,6149.66
202,04/12/22 01:21:00 PM,1.39765,6149.66
203,04/12/22 01:22:00 PM,1.39765,6149.66
204,04/12/22 01:23:00 PM,1.39765,6149.66
205,04/12/22 01:24:00 PM,1.39765,6149.66
206,04/12/22 01:25:00 PM,1.39765,6149.66
207,04/12/22 01:26:00 PM,1.39765,6149.66
208,04/12/22 01:27:00 PM,1.39765,6149.66
209,04/12/22 01:28:00 PM,1.39765,6149.66
210,04/12/22 01:29:00 PM,1.39765,6149.66
211,04/12/22 01:30:00 PM,1.39765,6149.66
212,04/12/22 01:31:00 PM,1.39765,6149.66
213,04/12/22 01:32:00 PM,1.39765,6149.66
214,04/12/22 01:33:00 PM,1.39765,6149.66
215,04/12/22 01:34:00 PM,1.39765,6149.66
216,04/12/22 01:35:00 PM,1.39765,6149.66
217,04/12/22 01:36:00 PM,1.39765,6149.66
218,04/12/22 01:37:00 PM,1.39765,6149.66
219,04/12/22 01:38:00 PM,1.39765,6149.66
220,04/12/22 01:39:00 PM,1.39765,6149.66
221,04/12/22 01:40:00 PM,1.39765,6149.66
222,04/12/22 01:41:00 PM,1.39761,6149.48
223,04/12/22 01:42:00 PM,1.39761,6149.48
224,04/12/22 01:43:00 PM,1.39761,6149.48
225,04/12/22 01:44:00 PM,1.39761,6149.48
226,04/12/22 01:45:00 PM,1.39761,6149.48
227,04/12/22 01:46:00 PM,1.39761,6149.48
228,04/12/22 01:47:00 PM,1.39761,6149.48
229,04/12/22 01:48:00 PM,1.39761,6149.48
230,04/12/22 01:49:00 PM,1.39761,6149.48
231,04/12/22 01:50:00 PM,1.39761,6149.48
232,04/12/22 01:51:00 PM,1.39761,6149.48
233,04/12/22 01:52:00 PM,1.39761,6149.48
234,04/12/22 01:53:00 PM,1.39761,6149.48
235,04/12/22 01:54:00 PM,1.39761,6149.48
236,04/12/22 01:55:00 PM,1.39761,6149.48
237,04/12/22 01:56:00 PM,1.39761,6149.48
238,04/12/22 01:57:00 PM,1.39761,6149.48
239,04/12/22 01:58:00 PM,1.39761,6149.48
240,04/12/22 01:59:00 PM,1.39757,6149.31
241,04/12/22 02:00:00 PM,1.39761,6149.48
242,04/12/22 02:01:00 PM,1.39757,6149.31
243,04/12/22 02:02:00 PM,1.39757,6149.31
244,04/12/22 02:03:00 PM,1.39761,6149.48
245,04/12/22 02:04:00 PM,1.39757,6149.31
246,04/12/22 02:05:00 PM,1.39757,6149.31
247,04/12/22 02:06:00 PM,1.39757,6149.31
248,04/12/22 02:07:00 PM,1.39757,6149.31
249,04/12/22 02:08:00 PM,1.39757,6149.31
250,04/12/22 02:09:00 PM,1.39757,6149.31
251,04/12/22 02:10:00 PM,1.39757,6149.31
252,04/12/22 02:11:00 PM,1.39757,6149.31
253,04/12/22 02:12:00 PM,1.39757,6149.31
254,04/12/22 02:13:00 PM,1.39757,6149.31
255,04/12/22 02:14:00 PM,1.39757,6149.31
256,04/12/22 02:15:00 PM,1.39757,6149.31
257,04/12/22 02:16:00 PM,1.39757,6149.31
258,04/12/22 02:17:00 PM,1.39757,6149.31
259,04/12/22 02:18:00 PM,1.39757,6149.31
260,04/12/22 02:19:00 PM,1.39757,6149.31
261,04/12/22 02:20:00 PM,1.39757,6149.31
262,04/12/22 02:21:00 PM,1.39757,6149.31
263,04/12/22 02:22:00 PM,1.39757,6149.31
264,04/12/22 02:23:00 PM,1.39757,6149.31
265,04/12/22 02:24:00 PM,1.39757,6149.31
266,04/12/22 02:25:00 PM,1.39757,6149.31
267,04/12/22 02:26:00 PM,1.39757,6149.31
268,04/12/22 02:27:00 PM,1.39757,6149.31
269,04/12/22 02:28:00 PM,1.39757,6149.31
270,04/12/22 02:29:00 PM,1.39757,6149.31
271,04/12/22 02:30:00 PM,1.39757,6149.31
272,04/12/22 02:31:00 PM,1.39754,6149.18
273,04/12/22 02:32:00 PM,1.39757,6149.31
274,04/12/22 02:33:00 PM,1.39757,6149.31
275,04/12/22 02:34:00 PM,1.39757,6149.31
276,04/12/22 02:35:00 PM,1.39757,6149.31
277,04/12/22 02:36:00 PM,1.39754,6149.18
278,04/12/22 02:37:00 PM,1.39757,6149.31
279,04/12/22 02:38:00 PM,1.39757,6149.31
280,04/12/22 02:39:00 PM,1.39754,6149.18
281,04/12/22 02:40:00 PM,1.39754,6149.18
282,04/12/22 02:41:00 PM,1.39754,6149.18
283,04/12/22 02:42:00 PM,1.39754,6149.18
284,04/12/22 02:43:00 PM,1.39754,6149.18
285,04/12/22 02:44:00 PM,1.39754,6149.18
286,04/12/22 02:45:00 PM,1.39754,6149.18
287,04/12/22 02:46:00 PM,1.39754,6149.18
288,04/12/22 02:47:00 PM,1.39754,6149.18
289,04/12/22 02:48:00 PM,1.39754,6149.18
290,04/12/22 02:49:00 PM,1.39754,6149.18
291,04/12/22 02:50:00 PM,1.39754,6149.18
292,04/12/22 02:51:00 PM,1.39754,6149.18
293,04/12/22 02:52:00 PM,1.39754,6149.18
294,04/12/22 02:53:00 PM,1.39754,6149.18
295,04/12/22 02:54:00 PM,1.39754,6149.18
296,04/12/22 02:55:00 PM,1.39754,6149.18
297,04/12/22 02:56:00 PM,1.39754,6149.18
298,04/12/22 02:57:00 PM,1.39754,6149.18
299,04/12/22 02:58:00 PM,1.39754,6149.18
300,04/12/22 02:59:00 PM,1.39754,6149.18
301,04/12/22 03:00:00 PM,1.39754,6149.18
302,04/12/22 03:01:00 PM,1.39754,6149.18
303,04/12/22 03:02:00 PM,1.39754,6149.18
304,04/12/22 03:03:00 PM,1.39754,6149.18
305,04/12/22 03:04:00 PM,1.39754,6149.18
306,04/12/22 03:05:00 PM,1.39754,6149.18
307,04/12/22 03:06:00 PM,1.39750,6149.00
308,04/12/22 03:07:00 PM,1.39750,6149.00
309,04/12/22 03:08:00 PM,1.39750,6149.00
310,04/12/22 03:09:00 PM,1.39750,6149.00
311,04/12/22 03:10:00 PM,1.39750,6149.00
312,04/12/22 03:11:00 PM,1.39750,6149.00
313,04/12/22 03:12:00 PM,1.39750,6149.00
314,04/12/22 03:13:00 PM,1.39750,6149.00
315,04/12/22 03:14:00 PM,1.39750,6149.00
316,04/12/22 03:15:00 PM,1.39750,6149.00
317,04/12/22 03:16:00 PM,1.39750,6149.00
318,04/12/22 03:17:00 PM,1.39750,6149.00
319,04/12/22 03:18:00 PM,1.39750,6149.00
320,04/12/22 03:19:00 PM,1.39750,6149.00
321,04/12/22 03:20:00 PM,1.39750,6149.00
322,04/12/22 03:21:00 PM,1.39750,6149.00
323,04/12/22 03:22:00 PM,1.39750,6149.00
324,04/12/22 03:23:00 PM,1.39750,6149.00
325,04/12/22 03:24:00 PM,1.39750,6149.00
326,04/12/22 03:25:00 PM,1.39750,6149.00
327,04/12/22 03:26:00 PM,1.39750,6149.00
328,04/12/22 03:27:00 PM,1.39750,6149.00
329,04/12/22 03:28:00 PM,1.39750,6149.00
330,04/12/22 03:29:00 PM,1.39750,6149.00
331,04/12/22 03:30:00 PM,1.39746,6148.82
332,04/12/22 03:31:00 PM,1.39750,6149.00
333,04/12/22 03:32:00 PM,1.39746,6148.82
334,04/12/22 03:33:00 PM,1.39750,6149.00
335,04/12/22 03:34:00 PM,1.39750,6149.00
336,04/12/22 03:35:00 PM,1.39746,6148.82
337,04/12/22 03:36:00 PM,1.39746,6148.82
